user_id,assignments_viewed,assignments_submitted,quiz_started,quiz_submitted,quiz_reviewed,quiz_viewed,forums_viewed,page_views,resources_viewed,quiz_1,quiz_2,assignment,project,final_exam,total_score
16,18,1,4,4,3,104,37,5,19,5,2.94,8,0,0,15.94
17,52,2,3,3,2,125,50,10,6,4,3.82,6,20,37.67,71.49
18,134,4,3,2,1,170,289,37,61,3.5,2.21,5,14,26.67,51.37
19,134,3,3,3,2,139,30,0,30,4,2.3,5,14,31.17,56.47
20,38,2,3,3,12,142,35,12,12,3,3.82,10,20,35.33,72.16
21,11,0,2,2,2,95,11,0,3,2,0,0,0,30.5,32.5
22,51,2,2,2,1,45,8,1,37,3.5,3.97,8,20,36,71.47
23,12,0,2,2,1,50,9,0,4,4.5,5,0,0,0,9.5
24,21,2,2,2,1,40,3,0,3,3,3.48,9,17,35,67.48
25,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0
27,63,2,4,4,45,201,50,1,44,5,3.82,8,13,49.5,79.32
28,0,0,1,1,1,17,3,0,2,4.5,0,0,0,0,4.5
29,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
30,17,0,2,2,1,55,56,2,29,3.5,2.65,0,0,0,6.15
33,2,0,0,0,0,0,25,0,16,0,0,0,0,0,0
34,51,3,2,2,1,57,140,2,26,4,4.07,4,28,42,82.07
36,59,3,3,3,6,104,7,0,12,3.5,3.43,5,12,31,54.93
37,20,1,2,2,2,38,1,2,7,5,0,3,0,0,8
38,53,1,3,3,4,141,60,5,39,3,4.12,3,10,29.83,49.95
40,44,3,4,4,8,150,53,3,4,5,2.84,6,18,45.5,77.34
41,33,2,2,2,1,41,1,0,2,4,3.04,6,7,27.33,47.37
42,6,0,1,1,1,14,31,0,2,4.5,0,0,0,0,4.5
43,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
44,66,2,3,3,26,203,78,29,57,5,4.41,6,12,31,58.41
45,75,2,5,5,21,194,50,13,59,5,2.5,6,15,33.33,61.83
46,48,1,2,2,1,73,46,6,22,4.5,3.38,3,0,0,10.88
47,2,0,0,0,0,5,4,0,7,0,0,0,0,0,0
48,142,3,4,4,4,161,127,15,33,5,4.61,6,23,39.5,78.11
49,49,1,1,1,2,34,37,2,14,2,0,9,0,0,11
50,15,1,1,1,1,36,32,3,3,4,0,4,0,0,8
51,6,0,0,0,0,1,8,0,3,0,0,0,0,0,0
52,54,3,4,4,19,139,70,0,9,5,3.53,9,10,23.17,50.7
54,33,2,7,7,9,182,53,0,53,5,3.73,2,15,28.17,53.89
56,13,1,2,2,1,155,0,0,1,4,2.75,8,0,0,14.75
57,0,0,1,1,1,15,0,0,2,2,0,0,0,0,2
58,204,2,3,3,43,321,49,1,44,4.5,3.73,3,21,45.5,77.73
62,4,0,2,2,1,35,39,3,4,2.5,0.29,0,0,14.33,17.13
63,20,1,3,3,2,53,22,0,1,5,2.11,5,0,0,12.11
65,25,1,2,2,1,64,52,0,13,3,2.06,5,0,0,10.06
66,0,0,0,0,0,1,27,0,6,0,0,0,0,0,0
67,46,2,2,2,2,39,33,0,34,3.5,4.26,9,10,31.83,58.6
68,65,1,2,2,52,147,10,4,13,2,0,0,10,28.67,40.67
70,45,3,3,3,3,100,47,4,15,4.5,2.84,7,20,35.67,70.01
72,204,3,2,2,1,87,34,0,3,3,2.7,3,17,37.67,63.36
73,34,1,2,2,1,45,0,2,11,4.5,4.02,5,0,0,13.52
75,0,0,1,1,1,35,18,0,8,4,0,0,0,0,4
76,77,2,3,3,4,112,64,2,3,5,3.24,0,17,32.83,58.07
77,62,3,4,4,4,251,83,0,10,5,3.68,2,20,33.67,64.34
78,41,2,3,3,2,115,58,0,19,4,3.38,2,17,35.33,61.72
79,16,1,2,2,1,39,16,3,21,2,3.33,6,0,0,11.33
81,22,1,3,3,2,190,23,0,8,5,4.41,6,0,0,15.41
84,6,0,1,1,4,87,32,0,2,3,0,0,0,0,3
85,40,1,1,1,18,65,15,0,3,2,0,2,0,0,4
86,83,3,3,3,2,94,66,0,41,4,3.14,3,10,29.33,49.47
87,29,2,2,2,3,113,18,3,39,5,4.22,10,21,46.5,86.72
89,84,3,5,5,18,147,1,1,4,2.5,3.63,4,19,37,66.13
92,30,2,2,2,1,71,45,0,52,4,4.61,10,27,29.33,74.94
93,94,6,4,4,4,161,32,0,17,4.5,2.79,8,19,18.33,52.63
94,4,0,1,1,1,25,11,0,1,4.5,0,0,0,0,4.5
95,158,5,4,4,29,332,154,26,37,5,5,10,24,39.5,83.5
96,31,2,4,4,3,133,23,0,32,5,3.92,9,18,25.33,61.25
97,2,0,1,1,1,17,29,2,2,3.5,0,0,0,0,3.5
100,58,1,3,3,22,170,69,20,19,4.5,3.53,9,0,34.5,51.53
101,0,0,1,1,1,15,4,0,1,3.5,0,0,0,0,3.5
103,6,0,0,0,0,3,57,9,7,0,0,0,0,0,0
104,2,0,1,1,1,33,14,1,5,2.5,0,0,0,0,2.5
105,56,4,2,2,29,140,102,12,45,0,3.82,9,17,32.33,62.16
108,45,3,3,3,7,174,74,2,35,4,3.82,9,18,35.5,70.32
110,0,0,0,0,0,2,47,0,3,0,0,0,0,0,0
111,79,4,3,3,11,130,49,7,32,4.5,4.46,8,25,41.17,83.13
113,15,1,1,1,1,14,17,0,9,4.5,0,8,0,0,12.5
115,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
118,0,0,1,1,1,13,0,0,2,3,0,0,0,0,3
120,0,0,1,1,1,24,42,5,9,3.5,0,0,0,0,3.5
121,76,2,2,2,1,56,81,7,50,4,3.53,5,19,31.17,62.7
122,11,1,1,0,0,13,3,0,2,0,0,0,17,29.5,46.5
123,4,0,0,0,0,0,16,0,2,0,0,0,0,0,0
124,63,4,3,3,17,135,19,0,28,2.5,2.94,9,13,33.17,60.61
